policy,coverage,selective_risk
confidence_plus_reconciliation,0.15,0.13333333333333333
confidence_plus_reconciliation,0.16,0.125
confidence_plus_reconciliation,0.17,0.11764705882352941
confidence_plus_reconciliation,0.18,0.16666666666666666
confidence_plus_reconciliation,0.19,0.15789473684210525
confidence_plus_reconciliation,0.2,0.15
confidence_plus_reconciliation,0.21,0.19047619047619047
confidence_plus_reconciliation,0.22,0.22727272727272727
confidence_plus_reconciliation,0.23,0.21739130434782608
confidence_plus_reconciliation,0.24,0.20833333333333334
confidence_plus_reconciliation,0.25,0.2
confidence_plus_reconciliation,0.26,0.23076923076923078
confidence_plus_reconciliation,0.27,0.25925925925925924
confidence_plus_reconciliation,0.28,0.25
confidence_plus_reconciliation,0.29,0.2413793103448276
confidence_plus_reconciliation,0.3,0.26666666666666666
confidence_plus_reconciliation,0.31,0.2903225806451613
confidence_plus_reconciliation,0.32,0.3125
confidence_plus_reconciliation,0.33,0.3333333333333333
confidence_plus_reconciliation,0.34,0.3235294117647059
confidence_plus_reconciliation,0.35,0.34285714285714286
confidence_plus_reconciliation,0.36,0.3611111111111111
confidence_plus_reconciliation,0.37,0.35135135135135137
confidence_plus_reconciliation,0.38,0.34210526315789475
confidence_plus_reconciliation,0.39,0.358974358974359
confidence_plus_reconciliation,0.4,0.375
confidence_plus_reconciliation,0.41,0.36585365853658536
confidence_plus_reconciliation,0.42,0.38095238095238093
confidence_plus_reconciliation,0.43,0.37209302325581395
confidence_plus_reconciliation,0.44,0.38636363636363635
confidence_plus_reconciliation,0.45,0.4
confidence_plus_reconciliation,0.46,0.41304347826086957
confidence_plus_reconciliation,0.47,0.425531914893617
confidence_plus_reconciliation,0.48,0.4166666666666667
confidence_plus_reconciliation,0.49,0.42857142857142855
confidence_plus_reconciliation,0.5,0.44
confidence_plus_reconciliation,0.51,0.45098039215686275
confidence_plus_reconciliation,0.52,0.4423076923076923
confidence_plus_reconciliation,0.53,0.4528301886792453
confidence_plus_reconciliation,0.54,0.46296296296296297
confidence_plus_reconciliation,0.55,0.4727272727272727
